File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF050OOL	bam	bam		alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF882SRG/, /files/ENCFF040RLC/	1190323871	ENCODE Processing Pipeline	c473a2ee82cc85c6d735ff3a42d639ce		https://www.encodeproject.org/files/ENCFF050OOL/@@download/ENCFF050OOL.bam				released	s3://encode-public/2020/11/11/abf36ab3-4a53-497d-b275-16ff1769fb22/ENCFF050OOL.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth, low spot score		
ENCFF010APW	bam	bam		alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		3	3_1		36					/files/ENCFF384WPV/, /files/ENCFF882SRG/	1130078622	ENCODE Processing Pipeline	d2ce97f971aea1fd6d4f14aa10cdb382		https://www.encodeproject.org/files/ENCFF010APW/@@download/ENCFF010APW.bam				released	s3://encode-public/2020/11/11/80d9ed97-c051-48b9-bf4e-a8d85b544ad4/ENCFF010APW.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth, low spot score		
ENCFF384WPV	bam	bam		unfiltered alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		3	3_1		36					/files/ENCFF756HSW/, /files/ENCFF444CGT/, /files/ENCFF747PGV/, /files/ENCFF063EBQ/	1672972426	ENCODE Processing Pipeline	0a783d02293077226247ee7b61d92588		https://www.encodeproject.org/files/ENCFF384WPV/@@download/ENCFF384WPV.bam				released	s3://encode-public/2020/11/11/2b39a261-7fe2-4869-84a2-c2915be97296/ENCFF384WPV.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth, low spot score		
ENCFF040RLC	bam	bam		unfiltered alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF075VKE/, /files/ENCFF063EBQ/, /files/ENCFF104UMI/	1876742070	ENCODE Processing Pipeline	581f1c87d450aa85d3bb4727871fadbb		https://www.encodeproject.org/files/ENCFF040RLC/@@download/ENCFF040RLC.bam				released	s3://encode-public/2020/11/11/858ebc4f-ee2f-48c8-8650-7330e433e28f/ENCFF040RLC.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth, low spot score		
ENCFF674MKO	bam	bam		unfiltered alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1		36					/files/ENCFF919UQV/, /files/ENCFF884ZLY/, /files/ENCFF063EBQ/, /files/ENCFF001QCJ/	26132835117	ENCODE Processing Pipeline	5dca227de5561012d30b07db4aa08531		https://www.encodeproject.org/files/ENCFF674MKO/@@download/ENCFF674MKO.bam				released	s3://encode-public/2020/11/11/c400a043-ee18-4337-973b-362872ba9db1/ENCFF674MKO.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth, low spot score		
ENCFF979FVA	bam	bam		alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1		36					/files/ENCFF882SRG/, /files/ENCFF674MKO/	15576926742	ENCODE Processing Pipeline	2ae5dab06ad37eba26c9af31d7411931		https://www.encodeproject.org/files/ENCFF979FVA/@@download/ENCFF979FVA.bam				released	s3://encode-public/2020/11/11/d96474cb-aa71-46da-8d03-965937113443/ENCFF979FVA.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth, low spot score		
ENCFF001QBZ	bam	bam		alignments	mm9	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF001QCK/, /files/ENCFF700SJI/, /files/ENCFF001QCL/, /files/ENCFF001QCM/	1210014306	John Stamatoyannopoulos, UW	3edb8b8c8e9f5d808fee73d6ef5a8b6b		https://www.encodeproject.org/files/ENCFF001QBZ/@@download/ENCFF001QBZ.bam				archived	s3://encode-public/2011/05/06/c7329739-a32b-494d-85e5-6dd9d31665f4/ENCFF001QBZ.bam	Lab custom mm9	archived	low read depth		
ENCFF001PAQ	bam	bam		alignments	mm9	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1, 1_2		36					/files/ENCFF362DBC/, /files/ENCFF246WUR/, /files/ENCFF997BOE/	13235914540	John Stamatoyannopoulos, UW	464535450a4c4249bb3233c2472ccbd8		https://www.encodeproject.org/files/ENCFF001PAQ/@@download/ENCFF001PAQ.bam				archived	s3://encode-public/2012/05/01/73416c2b-0bfe-4327-8d5a-cb8e2814d305/ENCFF001PAQ.bam	Lab custom mm9	archived	low read depth		
ENCFF001QBY	bam	bam		alignments	mm9	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1, 1_2		36					/files/ENCFF362DBC/, /files/ENCFF246WUR/, /files/ENCFF997BOE/	1361218156	John Stamatoyannopoulos, UW	85b3e39ba6c8bcccdc2620035a9d71be		https://www.encodeproject.org/files/ENCFF001QBY/@@download/ENCFF001QBY.bam				archived	s3://encode-public/2011/05/06/ea8ecb31-b23a-4e38-831c-283bc6d54ffc/ENCFF001QBY.bam	Lab custom mm9	archived	low read depth		
ENCFF142WVS	bam	bam		unfiltered alignments	mm10	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1		36					/files/ENCFF997BOE/, /files/ENCFF246WUR/, /files/ENCFF340HIY/	1843063470	ENCODE Processing Pipeline	e8527ff96d008a8f44a66ef8d7364c61		https://www.encodeproject.org/files/ENCFF142WVS/@@download/ENCFF142WVS.bam				released	s3://encode-public/2018/05/22/eadef829-e914-43a4-8318-61f4c15a5ac7/ENCFF142WVS.bam	ENCODE3 mm10	archived	low read depth		
ENCFF652FLG	bam	bam		unfiltered alignments	mm10	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_2		36					/files/ENCFF340HIY/, /files/ENCFF695AAR/, /files/ENCFF362DBC/	19067181351	ENCODE Processing Pipeline	4bc69237414c4188c6a7961281d8a42e		https://www.encodeproject.org/files/ENCFF652FLG/@@download/ENCFF652FLG.bam				released	s3://encode-public/2018/05/22/f437ead8-35cc-46f4-a5bd-0842f0f071da/ENCFF652FLG.bam	ENCODE3 mm10	archived	low read depth		
ENCFF879WGP	bam	bam		unfiltered alignments	mm10	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF700SJI/, /files/ENCFF001QCM/, /files/ENCFF001QCL/, /files/ENCFF001QCK/, /files/ENCFF340HIY/	1606228921	ENCODE Processing Pipeline	4cedf16944177e7fb24e8e4438be7869		https://www.encodeproject.org/files/ENCFF879WGP/@@download/ENCFF879WGP.bam				released	s3://encode-public/2018/05/22/a767ae84-db69-4e65-bfaf-8a73cc14d413/ENCFF879WGP.bam	ENCODE3 mm10	archived	low read depth		
ENCFF310RFP	bam	bam		alignments	mm10	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF879WGP/	1297353871	ENCODE Processing Pipeline	650cb82e6479f905c905934d0a650971		https://www.encodeproject.org/files/ENCFF310RFP/@@download/ENCFF310RFP.bam				released	s3://encode-public/2018/05/22/185e5a4c-60ea-4ef7-ae99-7306e401e2d5/ENCFF310RFP.bam	ENCODE3 mm10	archived	low read depth		
ENCFF412AZT	bam	bam		alignments	mm10	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1, 1_2		36					/files/ENCFF142WVS/, /files/ENCFF652FLG/	17499626984	ENCODE Processing Pipeline	4435280ebb6e1115a2b139bb04b1171f		https://www.encodeproject.org/files/ENCFF412AZT/@@download/ENCFF412AZT.bam				released	s3://encode-public/2018/05/22/bd5cc67d-f3e3-40b0-87db-cc0730f19e30/ENCFF412AZT.bam	ENCODE3 mm10	archived	low read depth		
ENCFF827CIG	bam	bam		unfiltered alignments	mm10	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF001QCK/, /files/ENCFF063EBQ/, /files/ENCFF001QCM/, /files/ENCFF700SJI/, /files/ENCFF001QCL/	1855701465	ENCODE Processing Pipeline	dda5fb909f3c8933041e23154ad7734b		https://www.encodeproject.org/files/ENCFF827CIG/@@download/ENCFF827CIG.bam				released	s3://encode-public/2020/10/20/ed143a90-811f-47d8-b3b1-0e83aafde729/ENCFF827CIG.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth		
ENCFF882ILJ	bam	bam		unfiltered alignments	mm10	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1, 1_2		36					/files/ENCFF695AAR/, /files/ENCFF063EBQ/, /files/ENCFF246WUR/, /files/ENCFF362DBC/, /files/ENCFF997BOE/	25812943503	ENCODE Processing Pipeline	4e2aabe03fb6f473469624c59e422e64		https://www.encodeproject.org/files/ENCFF882ILJ/@@download/ENCFF882ILJ.bam				released	s3://encode-public/2020/10/20/03e07839-e5eb-4e84-acff-ef739fd73954/ENCFF882ILJ.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth		
ENCFF095HMC	bam	bam		alignments	mm10	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1, 1_2		36					/files/ENCFF882SRG/, /files/ENCFF882ILJ/	16737914132	ENCODE Processing Pipeline	beb2a679a105600388d3860c127629b3		https://www.encodeproject.org/files/ENCFF095HMC/@@download/ENCFF095HMC.bam				released	s3://encode-public/2020/10/20/5f1444d7-3a31-4270-94c5-c55bcb9784cd/ENCFF095HMC.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth		
ENCFF113HIP	bam	bam		alignments	mm10	ENCSR000COD	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000902	induced T-regulatory cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF827CIG/, /files/ENCFF882SRG/	1267920313	ENCODE Processing Pipeline	cb2a017ead301f43a492bfc8e4f28341		https://www.encodeproject.org/files/ENCFF113HIP/@@download/ENCFF113HIP.bam				released	s3://encode-public/2020/10/20/a4275c21-2f9f-4504-b160-1c6174f5ab9f/ENCFF113HIP.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth		
ENCFF001PHX	bam	bam		alignments	mm9	ENCSR000CMT	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000721	c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		36					/files/ENCFF001PHQ/, /files/ENCFF001PHP/, /files/ENCFF001PHR/	1171563459	John Stamatoyannopoulos, UW	d47f4a8992d2be5f285f31a7b02d06ca		https://www.encodeproject.org/files/ENCFF001PHX/@@download/ENCFF001PHX.bam				archived	s3://encode-public/2011/05/06/bad98963-730b-4074-adc4-b9ee427e4cac/ENCFF001PHX.bam	Lab custom mm9	archived	low read depth		
ENCFF877FIK	bam	bam		unfiltered alignments	mm10	ENCSR000CMT	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000721	c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		36					/files/ENCFF001PHQ/, /files/ENCFF001PHR/, /files/ENCFF001PHP/, /files/ENCFF340HIY/	1536886341	ENCODE Processing Pipeline	27f3ebc6e77221c8957884466ecdbea8		https://www.encodeproject.org/files/ENCFF877FIK/@@download/ENCFF877FIK.bam				released	s3://encode-public/2016/10/21/0d2bbd8b-4ad6-484a-a414-005f0adc3ca1/ENCFF877FIK.bam	ENCODE3 mm10	archived	low read depth		
ENCFF839TUF	bam	bam		alignments	mm10	ENCSR000CMT	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000721	c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		27					/files/ENCFF877FIK/	1240518474	ENCODE Processing Pipeline	632d409b8c9455d9cded4aa727f890bf		https://www.encodeproject.org/files/ENCFF839TUF/@@download/ENCFF839TUF.bam				archived	s3://encode-public/2016/10/21/7697bcb2-fd17-4ae6-8387-36f714cd9691/ENCFF839TUF.bam	ENCODE3 mm10	archived	low read depth		
ENCFF989QDZ	bam	bam		alignments	mm10	ENCSR000CMT	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000721	c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		36					/files/ENCFF877FIK/	1230316183	ENCODE Processing Pipeline	3bca8d6c1f5782d0a94c1dbdc0b9be3c		https://www.encodeproject.org/files/ENCFF989QDZ/@@download/ENCFF989QDZ.bam				released	s3://encode-public/2017/08/24/06dd7f0e-13ff-40a7-b7e4-39c737ecf83c/ENCFF989QDZ.bam	ENCODE3 mm10	archived	low read depth		
ENCFF279HTN	bam	bam		unfiltered alignments	mm10	ENCSR000CMT	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000721	c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		36					/files/ENCFF001PHP/, /files/ENCFF063EBQ/, /files/ENCFF001PHQ/, /files/ENCFF001PHR/	1802360892	ENCODE Processing Pipeline	fcefeac1a0a398e30453b4d162e7f9de		https://www.encodeproject.org/files/ENCFF279HTN/@@download/ENCFF279HTN.bam				released	s3://encode-public/2020/10/15/8a275914-4205-48f2-b166-3a37829eceab/ENCFF279HTN.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth		
ENCFF026ZHZ	bam	bam		alignments	mm10	ENCSR000CMT	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000721	c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		36					/files/ENCFF279HTN/, /files/ENCFF882SRG/	1206470322	ENCODE Processing Pipeline	4b9ce677f1cbda3159afe1bb8108d815		https://www.encodeproject.org/files/ENCFF026ZHZ/@@download/ENCFF026ZHZ.bam				released	s3://encode-public/2020/10/15/3923ad03-aacb-4b07-86c5-d8ca1630db87/ENCFF026ZHZ.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth		
ENCFF001PHM	bam	bam		alignments	mm9	ENCSR000CMS	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000720	c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		36					/files/ENCFF001PHI/, /files/ENCFF001PHJ/, /files/ENCFF001PHK/	1166485379	John Stamatoyannopoulos, UW	498806fdb52cca032acbfd6f81626426		https://www.encodeproject.org/files/ENCFF001PHM/@@download/ENCFF001PHM.bam				archived	s3://encode-public/2011/05/06/2560ed6a-e8f0-4022-bbce-608f34d8c6c0/ENCFF001PHM.bam	Lab custom mm9	archived	low read depth		
ENCFF817BGK	bam	bam		unfiltered alignments	mm10	ENCSR000CMS	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000720	c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		36					/files/ENCFF001PHI/, /files/ENCFF001PHJ/, /files/ENCFF063EBQ/, /files/ENCFF001PHK/	1751209432	ENCODE Processing Pipeline	ff408b22f8ced57b37f5884ffd52785a		https://www.encodeproject.org/files/ENCFF817BGK/@@download/ENCFF817BGK.bam				released	s3://encode-public/2020/09/24/21ccd260-0945-4dd0-8add-c2e255467929/ENCFF817BGK.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth		
ENCFF536BTJ	bam	bam		alignments	mm10	ENCSR000CMS	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000720	c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		36					/files/ENCFF817BGK/, /files/ENCFF882SRG/	1206628173	ENCODE Processing Pipeline	f752a2bf7112e4222d7e1eacb37cdc82		https://www.encodeproject.org/files/ENCFF536BTJ/@@download/ENCFF536BTJ.bam				released	s3://encode-public/2020/09/24/ab8d6e82-814e-4ec3-a9c2-4af8933a1684/ENCFF536BTJ.bam	ENCODE4 v3.0.0-alpha.2 mm10	released	low read depth		
ENCFF308BAB	bam	bam		alignments	mm10	ENCSR000CMS	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000720	c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		36					/files/ENCFF693KEF/	1233089213	ENCODE Processing Pipeline	46191b6729ea40ba830c31e37e3c49a9		https://www.encodeproject.org/files/ENCFF308BAB/@@download/ENCFF308BAB.bam				archived	s3://encode-public/2016/10/21/f38529e0-583b-4434-8166-f669b8e9fd4b/ENCFF308BAB.bam	ENCODE3 mm10	archived	low read depth		
ENCFF693KEF	bam	bam		unfiltered alignments	mm10	ENCSR000CMS	DNase-seq	/mouse-donors/ENCDO083AAA/	NTR:0000720	c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells	primary cell	Mus musculus											DNA						2013-04-25	ENCODE		see document		1	1_1		27					/files/ENCFF001PHK/, /files/ENCFF001PHJ/, /files/ENCFF001PHI/, /files/ENCFF340HIY/	1520599518	ENCODE Processing Pipeline	a7034c1a0efaaec88a3a039fd85b84ff		https://www.encodeproject.org/files/ENCFF693KEF/@@download/ENCFF693KEF.bam				released	s3://encode-public/2016/10/21/7badb492-b54f-491f-9261-e47208d17555/ENCFF693KEF.bam	ENCODE3 mm10	archived	low read depth		
